Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"Addressing priority challenges in the detection and assessment of colorectal polyps from capsule endoscopy and colonoscopy in colorectal cancer screening using machine learning.","/pubmed/30836800","Blanes-Vidal V, Baatrup G, Nadimi ES.","Acta Oncol. 2019;58(sup1):S29-S36. doi: 10.1080/0284186X.2019.1584404. Epub 2019 Mar 5.","Acta Oncol.  2019","PubMed","citation","PMID:30836800","pubmed","30836800","create date:2019/03/07 | first author:Blanes-Vidal V",
"A Cancer Paradox: Machine-Learning Backed Propensity-Score Analysis of Coronary Angiography Findings in Cardio-Oncology.","/pubmed/30611123","Balanescu DV, Monlezun DJ, Donisan T, Boone D, Cervoni-Curet F, Palaskas N, Lopez-Mattei J, Kim P, Iliescu C, Balanescu SM.","J Invasive Cardiol. 2019 Jan;31(1):21-26.","J Invasive Cardiol.  2019","PubMed","citation","PMID:30611123","pubmed","30611123","create date:2019/01/06 | first author:Balanescu DV",
"Constructing a Risk Prediction Model for Lung Cancer Recurrence by Using Gene Function Clustering and Machine Learning.","/pubmed/30698110","Zhong J, Chen JM, Chen SL, Yi YF.","Comb Chem High Throughput Screen. 2019;22(4):266-275. doi: 10.2174/1386207322666190129111749.","Comb Chem High Throughput Screen.  2019","PubMed","citation","PMID:30698110","pubmed","30698110","create date:2019/01/31 | first author:Zhong J",
"Creating Prognostic Systems for Well-Differentiated Thyroid Cancer Using Machine Learning.","/pubmed/31139148","Yang CQ, Gardiner L, Wang H, Hueman MT, Chen D.","Front Endocrinol (Lausanne). 2019 May 8;10:288. doi: 10.3389/fendo.2019.00288. eCollection 2019.","Front Endocrinol (Lausanne).  2019","PubMed","citation","PMID:31139148 | PMCID:PMC6517862","pubmed","31139148","create date:2019/05/30 | first author:Yang CQ",
"Detection of Extraprostatic Extension of Cancer on Biparametric MRI Combining Texture Analysis and Machine Learning: Preliminary Results.","/pubmed/30655050","Stanzione A, Cuocolo R, Cocozza S, Romeo V, Persico F, Fusco F, Longo N, Brunetti A, Imbriaco M.","Acad Radiol. 2019 Oct;26(10):1338-1344. doi: 10.1016/j.acra.2018.12.025. Epub 2019 Jan 14.","Acad Radiol.  2019","PubMed","citation","PMID:30655050","pubmed","30655050","create date:2019/01/19 | first author:Stanzione A",
"Dose evaluation of MRI-based synthetic CT generated using a machine learning method for prostate cancer radiotherapy.","/pubmed/30713000","Shafai-Erfani G, Wang T, Lei Y, Tian S, Patel P, Jani AB, Curran WJ, Liu T, Yang X.","Med Dosim. 2019 Jan 31. pii: S0958-3947(19)30011-1. doi: 10.1016/j.meddos.2019.01.002. [Epub ahead of print]","Med Dosim.  2019","PubMed","citation","PMID:30713000 | PMCID:PMC6669118","pubmed","30713000","create date:2019/02/05 | first author:Shafai-Erfani G",
"Gait speed and survival of older surgical patient with cancer: Prediction after machine learning.","/pubmed/30017733","Sasani K, Catanese HN, Ghods A, Rokni SA, Ghasemzadeh H, Downey RJ, Shahrokni A.","J Geriatr Oncol. 2019 Jan;10(1):120-125. doi: 10.1016/j.jgo.2018.06.012. Epub 2018 Jul 13.","J Geriatr Oncol.  2019","PubMed","citation","PMID:30017733","pubmed","30017733","create date:2018/07/19 | first author:Sasani K",
"Gene shaving using a sensitivity analysis of kernel based machine learning approach, with applications to cancer data.","/pubmed/31120939","Alam MA, Shahjaman M, Rahman MF, Hossain F, Deng HW.","PLoS One. 2019 May 23;14(5):e0217027. doi: 10.1371/journal.pone.0217027. eCollection 2019.","PLoS One.  2019","PubMed","citation","PMID:31120939 | PMCID:PMC6532884","pubmed","31120939","create date:2019/05/24 | first author:Alam MA",
"A Machine Learning Approach for Identifying Gene Biomarkers Guiding the Treatment of Breast Cancer.","/pubmed/30972106","Tabl AA, Alkhateeb A, ElMaraghy W, Rueda L, Ngom A.","Front Genet. 2019 Mar 27;10:256. doi: 10.3389/fgene.2019.00256. eCollection 2019.","Front Genet.  2019","PubMed","citation","PMID:30972106 | PMCID:PMC6446069","pubmed","30972106","create date:2019/04/12 | first author:Tabl AA",
"Machine Learning-Based Analysis of MR Multiparametric Radiomics for the Subtype Classification of Breast Cancer.","/pubmed/31259153","Xie T, Wang Z, Zhao Q, Bai Q, Zhou X, Gu Y, Peng W, Wang H.","Front Oncol. 2019 Jun 14;9:505. doi: 10.3389/fonc.2019.00505. eCollection 2019.","Front Oncol.  2019","PubMed","citation","PMID:31259153 | PMCID:PMC6587031","pubmed","31259153","create date:2019/07/02 | first author:Xie T",
"Machine Learning-based Analysis of Rectal Cancer MRI Radiomics for Prediction of Metachronous Liver Metastasis.","/pubmed/30711405","Liang M, Cai Z, Zhang H, Huang C, Meng Y, Zhao L, Li D, Ma X, Zhao X.","Acad Radiol. 2019 Jan 30. pii: S1076-6332(19)30012-1. doi: 10.1016/j.acra.2018.12.019. [Epub ahead of print]","Acad Radiol.  2019","PubMed","citation","PMID:30711405","pubmed","30711405","create date:2019/02/04 | first author:Liang M",
"Machine learning-based prediction of future breast cancer using algorithmically measured background parenchymal enhancement on high-risk screening MRI.","/pubmed/30648316","Saha A, Grimm LJ, Ghate SV, Kim CE, Soo MS, Yoon SC, Mazurowski MA.","J Magn Reson Imaging. 2019 Aug;50(2):456-464. doi: 10.1002/jmri.26636. Epub 2019 Jan 16.","J Magn Reson Imaging.  2019","PubMed","citation","PMID:30648316 | PMCID:PMC6625842","pubmed","30648316","create date:2019/01/17 | first author:Saha A",
"Machine learning-based radiomic models to predict intensity-modulated radiation therapy response, Gleason score and stage in prostate cancer.","/pubmed/30607868","Abdollahi H, Mofid B, Shiri I, Razzaghdoust A, Saadipoor A, Mahdavi A, Galandooz HM, Mahdavi SR.","Radiol Med. 2019 Jun;124(6):555-567. doi: 10.1007/s11547-018-0966-4. Epub 2019 Jan 3.","Radiol Med.  2019","PubMed","citation","PMID:30607868","pubmed","30607868","create date:2019/01/05 | first author:Abdollahi H",
"Machine learning for diagnostic ultrasound of triple-negative breast cancer.","/pubmed/30343454","Wu T, Sultan LR, Tian J, Cary TW, Sehgal CM.","Breast Cancer Res Treat. 2019 Jan;173(2):365-373. doi: 10.1007/s10549-018-4984-7. Epub 2018 Oct 20.","Breast Cancer Res Treat.  2019","PubMed","citation","PMID:30343454","pubmed","30343454","create date:2018/10/22 | first author:Wu T",
"Machine learning improves classification of preclinical models of pancreatic cancer with chemical exchange saturation transfer MRI.","/pubmed/30277270","Goldenberg JM, Cárdenas-Rodríguez J, Pagel MD.","Magn Reson Med. 2019 Jan;81(1):594-601. doi: 10.1002/mrm.27439. Epub 2018 Sep 17.","Magn Reson Med.  2019","PubMed","citation","PMID:30277270 | PMCID:PMC6258293","pubmed","30277270","create date:2018/10/03 | first author:Goldenberg JM",
"Machine learning methods can more efficiently predict prostate cancer compared with prostate-specific antigen density and prostate-specific antigen velocity.","/pubmed/31485436","Nitta S, Tsutsumi M, Sakka S, Endo T, Hashimoto K, Hasegawa M, Hayashi T, Kawai K, Nishiyama H.","Prostate Int. 2019 Sep;7(3):114-118. doi: 10.1016/j.prnil.2019.01.001. Epub 2019 Jan 29.","Prostate Int.  2019","PubMed","citation","PMID:31485436 | PMCID:PMC6713794","pubmed","31485436","create date:2019/09/06 | first author:Nitta S",
"Machine learning models for predicting post-cystectomy recurrence and survival in bladder cancer patients.","/pubmed/30785915","Hasnain Z, Mason J, Gill K, Miranda G, Gill IS, Kuhn P, Newton PK.","PLoS One. 2019 Feb 20;14(2):e0210976. doi: 10.1371/journal.pone.0210976. eCollection 2019.","PLoS One.  2019","PubMed","citation","PMID:30785915 | PMCID:PMC6382101","pubmed","30785915","create date:2019/02/21 | first author:Hasnain Z",
"Machine Learning to Predict Delays in Adjuvant Radiation following Surgery for Head and Neck Cancer.","/pubmed/30691352","Shew M, New J, Bur AM.","Otolaryngol Head Neck Surg. 2019 Jun;160(6):1058-1064. doi: 10.1177/0194599818823200. Epub 2019 Jan 29.","Otolaryngol Head Neck Surg.  2019","PubMed","citation","PMID:30691352","pubmed","30691352","create date:2019/01/30 | first author:Shew M",
"MALDI-Imaging for Classification of Epithelial Ovarian Cancer Histotypes from a Tissue Microarray Using Machine Learning Methods.","/pubmed/30471200","Klein O, Kanter F, Kulbe H, Jank P, Denkert C, Nebrich G, Schmitt WD, Wu Z, Kunze CA, Sehouli J, Darb-Esfahani S, Braicu I, Lellmann J, Thiele H, Taube ET.","Proteomics Clin Appl. 2019 Jan;13(1):e1700181. doi: 10.1002/prca.201700181. Epub 2018 Dec 14.","Proteomics Clin Appl.  2019","PubMed","citation","PMID:30471200","pubmed","30471200","create date:2018/11/25 | first author:Klein O",
"Multivariate machine learning models for prediction of pathologic response to neoadjuvant therapy in breast cancer using MRI features: a study using an independent validation set.","/pubmed/30328048","Cain EH, Saha A, Harowicz MR, Marks JR, Marcom PK, Mazurowski MA.","Breast Cancer Res Treat. 2019 Jan;173(2):455-463. doi: 10.1007/s10549-018-4990-9. Epub 2018 Oct 16.","Breast Cancer Res Treat.  2019","PubMed","citation","PMID:30328048 | PMCID:PMC6483397","pubmed","30328048","create date:2018/10/18 | first author:Cain EH",
"Predicting radiation pneumonitis in locally advanced stage II-III non-small cell lung cancer using machine learning.","/pubmed/30935565","Luna JM, Chao HH, Diffenderfer ES, Valdes G, Chinniah C, Ma G, Cengel KA, Solberg TD, Berman AT, Simone CB 2nd.","Radiother Oncol. 2019 Apr;133:106-112. doi: 10.1016/j.radonc.2019.01.003. Epub 2019 Jan 23.","Radiother Oncol.  2019","PubMed","citation","PMID:30935565","pubmed","30935565","create date:2019/04/03 | first author:Luna JM",
"Prediction of Recurrence-associated Death from Localized Prostate Cancer with a Charlson Comorbidity Index-reinforced Machine Learning Model.","/pubmed/31428684","Lin YT, Lee MT, Huang YC, Liu CK, Li YT, Chen M.","Open Med (Wars). 2019 Aug 14;14:593-606. doi: 10.1515/med-2019-0067. eCollection 2019.","Open Med (Wars).  2019","PubMed","citation","PMID:31428684 | PMCID:PMC6698054","pubmed","31428684","create date:2019/08/21 | first author:Lin YT",
"Radiomics and machine learning of multisequence multiparametric prostate MRI: Towards improved non-invasive prostate cancer characterization.","/pubmed/31283771","Toivonen J, Montoya Perez I, Movahedi P, Merisaari H, Pesola M, Taimen P, Boström PJ, Pohjankukka J, Kiviniemi A, Pahikkala T, Aronen HJ, Jambor I.","PLoS One. 2019 Jul 8;14(7):e0217702. doi: 10.1371/journal.pone.0217702. eCollection 2019.","PLoS One.  2019","PubMed","citation","PMID:31283771 | PMCID:PMC6613688","pubmed","31283771","create date:2019/07/10 | first author:Toivonen J",
"Towards rapid prediction of drug-resistant cancer cell phenotypes: single cell mass spectrometry combined with machine learning.","/pubmed/30525135","Liu R, Zhang G, Yang Z.","Chem Commun (Camb). 2019 Jan 10;55(5):616-619. doi: 10.1039/c8cc08296k.","Chem Commun (Camb).  2019","PubMed","citation","PMID:30525135 | PMCID:PMC6640148","pubmed","30525135","create date:2018/12/14 | first author:Liu R",
"Transition zone prostate cancer: Logistic regression and machine-learning models of quantitative ADC, shape and texture features are highly accurate for diagnosis.","/pubmed/30701625","Wu M, Krishna S, Thornhill RE, Flood TA, McInnes MDF, Schieda N.","J Magn Reson Imaging. 2019 Sep;50(3):940-950. doi: 10.1002/jmri.26674. Epub 2019 Jan 30.","J Magn Reson Imaging.  2019","PubMed","citation","PMID:30701625","pubmed","30701625","create date:2019/02/01 | first author:Wu M",
